"","food","totalQuant","eatenQuant","affect","N","probit","sd","se","ci"
"1","M&M's","10","0","upset",16,0.180965661303121,0.195913984394534,0.0489784960986335,0.104395193251634
"2","M&M's","10","0","happy",16,0.574050541483692,0.226911993363833,0.0567279983409583,0.120912866284351
"3","M&M's","10","0","surprised",16,0.392885893572283,0.315314378100747,0.0788285945251867,0.168019171977825
"4","M&M's","10","0","neutral",16,0.666897773737855,0.299092848495109,0.0747732121237772,0.159375329001269
"5","M&M's","10","1","upset",20,0.156539336773361,0.150024727220928,0.0335465488371858,0.0702137336586129
"6","M&M's","10","1","happy",20,0.575883511106435,0.284805757250126,0.0636845033594584,0.133293197424393
"7","M&M's","10","1","surprised",20,0.365025089233294,0.303025157565887,0.0677584851209908,0.141820139248501
"8","M&M's","10","1","neutral",20,0.65940549373779,0.27200536691517,0.0608222490667093,0.127302430339836
"9","M&M's","10","2","upset",18,0.199512883200243,0.199595137439081,0.0470450250583451,0.0992563267276552
"10","M&M's","10","2","happy",18,0.561973285580944,0.247426109783626,0.0583188933568696,0.123042109686323
"11","M&M's","10","2","surprised",18,0.353933606485151,0.289641239925751,0.0682690949542594,0.144035200019078
"12","M&M's","10","2","neutral",18,0.725198165951952,0.180048020642966,0.0424377254452855,0.0895357742322767
"13","M&M's","10","3","upset",21,0.252998766582878,0.185182590363673,0.0404101541775967,0.0842941045128447
"14","M&M's","10","3","happy",21,0.602884702279121,0.183093991774093,0.0399543845998286,0.0833433858332447
"15","M&M's","10","3","surprised",21,0.248257174230275,0.132901626808555,0.029001512611094,0.0604960952221622
"16","M&M's","10","3","neutral",21,0.638991488145589,0.260280216692832,0.0567977997568768,0.118478134177971
"17","M&M's","10","4","upset",21,0.327854460436537,0.193429224466839,0.0422097172731377,0.0880479273511919
"18","M&M's","10","4","happy",21,0.577090587843553,0.226496908131308,0.0494256774373894,0.103100156490747
"19","M&M's","10","4","surprised",21,0.366948765201608,0.236157682689539,0.0515338312795321,0.10749768834667
"20","M&M's","10","4","neutral",21,0.580503142170072,0.231033088405972,0.0504155531266567,0.105165000995896
"21","M&M's","10","5","upset",19,0.356502008457504,0.275443394918963,0.063191048585133,0.132759466718448
"22","M&M's","10","5","happy",19,0.487052355002472,0.257034522431367,0.0589677635936614,0.123886674197646
"23","M&M's","10","5","surprised",19,0.455508032805388,0.307069435244708,0.0704465598358837,0.148002730218367
"24","M&M's","10","5","neutral",19,0.586504784423153,0.25655774378585,0.0588583830708062,0.123656874246407
"25","M&M's","10","6","upset",23,0.4661464311969,0.273664663235828,0.0570630269027454,0.118341474666686
"26","M&M's","10","6","happy",23,0.448744579224465,0.234574261292534,0.0489121146462839,0.101437517259162
"27","M&M's","10","6","surprised",23,0.612362322783191,0.270924003121543,0.0564915597648857,0.117156324360287
"28","M&M's","10","6","neutral",23,0.497399209334178,0.262154351726972,0.0546629610428618,0.113364042718678
"29","M&M's","10","7","upset",21,0.467968711330767,0.312374033616596,0.0681656025803205,0.1421909553434
"30","M&M's","10","7","happy",21,0.440024390964458,0.265637576033121,0.0579668714093508,0.120916774912266
"31","M&M's","10","7","surprised",21,0.517034612723823,0.321439850588503,0.0701439260331958,0.146317665752967
"32","M&M's","10","7","neutral",21,0.471511561386729,0.239590435282684,0.0522829193081103,0.109060258593069
"33","M&M's","10","8","upset",21,0.601635337149877,0.304178757584163,0.0663772467346214,0.138460510418568
"34","M&M's","10","8","happy",21,0.322029324675352,0.250365977050503,0.0546343352988336,0.113965226399034
"35","M&M's","10","8","surprised",21,0.684520180779795,0.279746444629156,0.0610456789479944,0.127339054899044
"36","M&M's","10","8","neutral",21,0.432393068085939,0.279248613023834,0.060937043185388,0.127112444669181
"37","M&M's","10","9","upset",21,0.488182448246151,0.355910814353533,0.0776661070204019,0.162008660335997
"38","M&M's","10","9","happy",21,0.389024425998691,0.270343231593202,0.0589937296378489,0.123058763642438
"39","M&M's","10","9","surprised",21,0.607741623421033,0.363875593122195,0.0794041642394959,0.165634184164284
"40","M&M's","10","9","neutral",21,0.452160113046138,0.312506484371604,0.0681945057046385,0.142251246204239
"41","M&M's","10","10","upset",18,0.591011202323125,0.340883001155127,0.0803468939026706,0.169517128386375
"42","M&M's","10","10","happy",18,0.353256738516155,0.27361270339003,0.064491132661958,0.136064396322314
"43","M&M's","10","10","surprised",18,0.667326095920057,0.348166964645859,0.0820637405620746,0.173139358213137
"44","M&M's","10","10","neutral",18,0.410846494507872,0.273246553176731,0.0644048302290389,0.135882314104936
"45","cookies","10","0","upset",12,0.36355758471281,0.235747482206414,0.0680544361563247,0.149786804058474
"46","cookies","10","0","happy",12,0.417081604942677,0.209311526481849,0.0604230330793934,0.132990199135471
"47","cookies","10","0","surprised",12,0.591154413255837,0.322796911034487,0.0931834417396704,0.205095372435278
"48","cookies","10","0","neutral",12,0.736100623348477,0.205401856172964,0.0592944084767548,0.130506113133749
"49","cookies","10","1","upset",24,0.142155771883807,0.150347226087162,0.030689499013034,0.0634860656932606
"50","cookies","10","1","happy",24,0.742588730838103,0.198299175909794,0.0404776497827831,0.0837343982750312
"51","cookies","10","1","surprised",24,0.213133592143688,0.238170449704492,0.0486163394654341,0.100570560625886
"52","cookies","10","1","neutral",24,0.70795642069288,0.225220555381708,0.045972953355952,0.0951022998332299
"53","cookies","10","2","upset",22,0.206048124206919,0.169427487769349,0.0361220617627567,0.0751199397419372
"54","cookies","10","2","happy",22,0.66396652035715,0.202126595047324,0.0430935348586099,0.0896179117102201
"55","cookies","10","2","surprised",22,0.252960403899939,0.189153399104616,0.0403276401902029,0.0838659188647423
"56","cookies","10","2","neutral",22,0.591056509888013,0.245171592769164,0.0522707592084317,0.108702994524281
"57","cookies","10","3","upset",19,0.279271679654887,0.253060764301983,0.0580561209561846,0.121971384087748
"58","cookies","10","3","happy",19,0.590581305759304,0.250319933967459,0.0574273313535752,0.120650346152951
"59","cookies","10","3","surprised",19,0.366314568400193,0.250493784038676,0.0574672152952469,0.120734139205061
"60","cookies","10","3","neutral",19,0.653171916983409,0.233837284217046,0.0536459521649528,0.112705963273066
"61","cookies","10","4","upset",20,0.37822344208343,0.249253245972546,0.0557347201607088,0.116654109962079
"62","cookies","10","4","happy",20,0.546480641842425,0.264640872951038,0.0591754981543406,0.123855741068629
"63","cookies","10","4","surprised",20,0.484670448479732,0.260715583205225,0.0582977766840386,0.122018648918217
"64","cookies","10","4","neutral",20,0.534343183128196,0.243443252729387,0.0544355661766571,0.113934949423079
"65","cookies","10","5","upset",22,0.527902611294633,0.303045160661592,0.0646094453411526,0.134362697031637
"66","cookies","10","5","happy",22,0.498984554649955,0.256028882224513,0.0545855410979924,0.113516846989337
"67","cookies","10","5","surprised",22,0.690033189683774,0.228145085495406,0.0486406956606325,0.101153864113037
"68","cookies","10","5","neutral",22,0.346574228523429,0.2753700983565,0.0587091022325208,0.122092261814283
"69","cookies","10","6","upset",18,0.530048451762167,0.287695973169546,0.0678105911827496,0.143067841619452
"70","cookies","10","6","happy",18,0.370314183695807,0.25419072828104,0.0599133292274235,0.126406075323874
"71","cookies","10","6","surprised",18,0.71331616571585,0.232380488772334,0.0547726064754539,0.115560098380447
"72","cookies","10","6","neutral",18,0.406786620949091,0.230419348897861,0.0543103613740889,0.11458484646481
"73","cookies","10","7","upset",20,0.633294311648999,0.249644475088043,0.0558222016504117,0.116837210824343
"74","cookies","10","7","happy",20,0.452046558083379,0.250336179827447,0.0559768715321783,0.117160938607373
"75","cookies","10","7","surprised",20,0.739637693228453,0.188353894559774,0.0421172112062482,0.0881523361592727
"76","cookies","10","7","neutral",20,0.378690528985891,0.205098188999737,0.0458613492665512,0.0959889071825126
"77","cookies","10","8","upset",20,0.683360561249931,0.308263456409593,0.0689298043510893,0.144271738572488
"78","cookies","10","8","happy",20,0.313574405451666,0.251541411545869,0.0562463695372814,0.117725004414669
"79","cookies","10","8","surprised",20,0.814227682358166,0.192097796127066,0.0429543730468016,0.0899045360289836
"80","cookies","10","8","neutral",20,0.275860466009282,0.247349315965268,0.0553089884686413,0.115763043289858
"81","cookies","10","9","upset",20,0.797289880635355,0.231995087188459,0.0518756785399384,0.108577043022844
"82","cookies","10","9","happy",20,0.237696883365154,0.194095992836905,0.0434011834143632,0.0908397208760491
"83","cookies","10","9","surprised",20,0.829007584111618,0.223072919119822,0.0498806211091234,0.104401339830222
"84","cookies","10","9","neutral",20,0.22145361407705,0.177850359636418,0.0397685493969815,0.0832365304968072
"85","cookies","10","10","upset",17,0.759236093106362,0.27091375730299,0.0657062374584222,0.139291000979999
"86","cookies","10","10","happy",17,0.266596679753476,0.247316561618881,0.0599830768540721,0.127158442486543
"87","cookies","10","10","surprised",17,0.880659077257181,0.185072143900491,0.0448865880977197,0.0951553159723177
"88","cookies","10","10","neutral",17,0.248953032799883,0.25759539948916,0.0624760612215873,0.132443333258114
"89","pies","10","0","upset",22,0.420973134170834,0.298705747887733,0.063684279429203,0.132438709192477
"90","pies","10","0","happy",22,0.365082780520642,0.203712576663409,0.043431667275286,0.0903210965652908
"91","pies","10","0","surprised",22,0.669379033063682,0.261845844455623,0.0558257216126785,0.11609594355764
"92","pies","10","0","neutral",22,0.606665997226186,0.28586220310795,0.060946026481608,0.126744200452292
"93","pies","10","1","upset",17,0.13423314643001,0.0915152297406731,0.0221957034454978,0.0470527893540542
"94","pies","10","1","happy",17,0.645438453972481,0.288822484844109,0.0700497418862129,0.148498819033664
"95","pies","10","1","surprised",17,0.438483041688905,0.345267920818284,0.0837397709806575,0.17752038425747
"96","pies","10","1","neutral",17,0.589798814788303,0.239370377646837,0.0580558441577586,0.123072891680796
"97","pies","10","2","upset",23,0.372920556772746,0.281934520315275,0.058787411306002,0.121917629039314
"98","pies","10","2","happy",23,0.582062848601889,0.225414918538638,0.0470022596588073,0.0974767204370323
"99","pies","10","2","surprised",23,0.505795422030591,0.295361894877595,0.061587212445189,0.127724061217361
"100","pies","10","2","neutral",23,0.493178237216081,0.24690874150912,0.0514840315613438,0.106771346482192
"101","pies","10","3","upset",20,0.442630330045631,0.238716909981315,0.0533787238096918,0.111722952927302
"102","pies","10","3","happy",20,0.52033132157508,0.183116904623078,0.0409461846566549,0.0857013494226231
"103","pies","10","3","surprised",20,0.528109175546594,0.264953016450117,0.0592452955626081,0.124001828723069
"104","pies","10","3","neutral",20,0.431397117906202,0.240451774283541,0.0537666512608433,0.112534894413928
"105","pies","10","4","upset",19,0.501790707534613,0.264679735774311,0.0607216958233299,0.127571549076046
"106","pies","10","4","happy",19,0.45338539891537,0.260392623974039,0.0597381649234854,0.125505227331305
"107","pies","10","4","surprised",19,0.719581227673277,0.24719215967811,0.0567097707196026,0.119142807201829
"108","pies","10","4","neutral",19,0.429317558692765,0.20231987581014,0.0464153627855842,0.0975150586820175
"109","pies","10","5","upset",19,0.762366535195557,0.158120604158354,0.0362753544430454,0.0762116916669497
"110","pies","10","5","happy",19,0.241603220749985,0.150764667837655,0.0345877869137272,0.0726662438502099
"111","pies","10","5","surprised",19,0.85757531421673,0.103307843328279,0.0237004446917422,0.0497927866163949
"112","pies","10","5","neutral",19,0.235942909579128,0.1307543558778,0.0299971065104781,0.0630215822113214
"113","pies","10","6","upset",23,0.684551144733414,0.236977942965023,0.0494133169218027,0.102476947159933
"114","pies","10","6","happy",23,0.353656149103902,0.255204988548614,0.0532139186516567,0.110358912729307
"115","pies","10","6","surprised",23,0.806540000144014,0.215822442361343,0.0450020901093422,0.093328622677155
"116","pies","10","6","neutral",23,0.303576379883354,0.231028997884705,0.0481728761241224,0.0999044303972943
"117","pies","10","7","upset",18,0.680740355800994,0.294128802445082,0.069326823583732,0.14626681235866
"118","pies","10","7","happy",18,0.266223063855002,0.228752855054503,0.0539175650082742,0.113756118573297
"119","pies","10","7","surprised",18,0.823414307385156,0.207889560204811,0.0490000392529036,0.10338104613022
"120","pies","10","7","neutral",18,0.220326756975662,0.153945096946776,0.036285207327162,0.076555095663758
"121","pies","10","8","upset",25,0.71762591791112,0.280248967115534,0.0560497934231068,0.115681088025498
"122","pies","10","8","happy",25,0.387536098108545,0.305701332490365,0.0611402664980729,0.126187308082927
"123","pies","10","8","surprised",25,0.863114933756803,0.129613536160431,0.0259227072320862,0.053501838169807
"124","pies","10","8","neutral",25,0.240839137301642,0.209987413381328,0.0419974826762655,0.0866785440875423
"125","pies","10","9","upset",22,0.801656914316416,0.258425505886516,0.0550965029795661,0.114579450392386
"126","pies","10","9","happy",22,0.353761542301012,0.29334711550007,0.0625418151654668,0.130062824692504
"127","pies","10","9","surprised",22,0.868628497878008,0.191173884283614,0.0407584090777511,0.0847617518071655
"128","pies","10","9","neutral",22,0.241989824235807,0.229178133592932,0.048860942255055,0.101611891980052
"129","pies","10","10","upset",19,0.804003866110341,0.263036966861824,0.0603448187876919,0.126779759805413
"130","pies","10","10","happy",19,0.246735031355598,0.29273713114966,0.0671585037738621,0.141094780768118
"131","pies","10","10","surprised",19,0.831508821005967,0.255341217184316,0.0585792927277423,0.123070527193445
"132","pies","10","10","neutral",19,0.185535231927624,0.241476254119735,0.0553984520511933,0.116387828909588
