"","food","totalQuant","eatenQuant","N","probability","sd","se","ci"
"1","M&M's","10","0",40,0.0828475654166175,0.0634648300850092,0.0100346707192103,0.0202970373493055
"2","M&M's","10","1",40,0.133431578371497,0.140194655295128,0.0221667213257395,0.0448364259525585
"3","M&M's","10","2",40,0.111347306748723,0.0706458226666288,0.0111700853401449,0.0225936301935467
"4","M&M's","10","3",40,0.12952327305573,0.139871044944866,0.0221155540366778,0.0447329303415705
"5","M&M's","10","4",40,0.087922072941205,0.0466581548323768,0.00737730203455513,0.0149220018396634
"6","M&M's","10","5",40,0.110571136012825,0.150206407625422,0.0237497183624008,0.0480383396850585
"7","M&M's","10","6",40,0.0790721375135575,0.0453168911886311,0.00716522963170446,0.014493044916027
"8","M&M's","10","7",40,0.07182018186699,0.0480097792860129,0.00759101262528866,0.0153542723110558
"9","M&M's","10","8",40,0.0679118431368688,0.051213525117845,0.00809756931893167,0.0163788799357713
"10","M&M's","10","9",40,0.065190990175572,0.0536050153207814,0.00847569712109454,0.0171437156078196
"11","M&M's","10","10",40,0.0603619147605292,0.0643814395551693,0.0101795994017396,0.0205901832795104
"12","cookies","10","0",40,0.108689177773164,0.102819158918717,0.016257136464298,0.0328831623121341
"13","cookies","10","1",40,0.240449355551893,0.164499428438854,0.0260096433831327,0.0526094695044567
"14","cookies","10","2",40,0.182446062910045,0.084691763047998,0.0133909435143479,0.0270857398571966
"15","cookies","10","3",40,0.141656962287578,0.0798143181509673,0.0126197517625188,0.0255258573031646
"16","cookies","10","4",40,0.10011539970189,0.0627234748231174,0.0099174521600639,0.0200599404340602
"17","cookies","10","5",40,0.0686563048202675,0.0667595436811736,0.0105556106793005,0.0213507378764642
"18","cookies","10","6",40,0.0446299539653082,0.0358797302062502,0.00567308346420468,0.0114748944116575
"19","cookies","10","7",40,0.0356687179237758,0.0296014510187222,0.00468040036325369,0.00946700331688999
"20","cookies","10","8",40,0.0320656165582607,0.0328477299427862,0.00519368212926584,0.0105052136844232
"21","cookies","10","9",40,0.0255380128682275,0.0246612103618136,0.0038992797299938,0.00788703770454186
"22","cookies","10","10",40,0.020084435639516,0.0257926254769925,0.00407817216714916,0.00824888181283924
"23","pies","10","0",40,0.322940061895255,0.270114501665892,0.0427088527152783,0.0863868085923807
"24","pies","10","1",40,0.33650750369824,0.244978588389886,0.0387345158642461,0.0783479535306304
"25","pies","10","2",40,0.0989011920862075,0.109170525552434,0.0172613757051652,0.0349144279061808
"26","pies","10","3",40,0.0601934946390225,0.0667407649844955,0.0105526415066509,0.0213447321579058
"27","pies","10","4",40,0.0402567738511675,0.0511244567490433,0.00808348637328721,0.0163503944894889
"28","pies","10","5",40,0.0271656694612793,0.0361752110484197,0.0057198030875147,0.0115693937695142
"29","pies","10","6",40,0.0296946336830543,0.0433620799943392,0.00685614684322665,0.0138678659662333
"30","pies","10","7",40,0.0231128991630908,0.0409248088946302,0.00647078044570746,0.0130883888530839
"31","pies","10","8",40,0.0247383665305607,0.0401643470461777,0.00635054086996888,0.0128451813550084
"32","pies","10","9",40,0.0191711067928468,0.0383681139084853,0.00606653147377994,0.0122707181281319
"33","pies","10","10",40,0.0173182981993358,0.0371680771221153,0.00587678899773403,0.0118869277446885
